%Warning: Data.hex:0: $readmem file not found
Switch 1 : 0 | Switch 2: 0 | Switch Master : 0 | ClockCount = 0 | Output Value: 0 | Output Value (SVA): 0 | WriteEnable: 0 |  OpCode=JR |  InDest: 0 | InSrc: 0 | OutDest: 0 | PortData1: 0 | PmuxReadData: 0 | DMuxSlaveData3: 0 | DMuxReadData: 0 | InBlockUse: 0 | time=0
Switch 1 : 0 | Switch 2: 0 | Switch Master : 89 | ClockCount = 0 | Output Value: 0 | Output Value (SVA): 0 | WriteEnable: 0 |  OpCode=JR |  InDest: 0 | InSrc: 0 | OutDest: 0 | PortData1: 89 | PmuxReadData: 89 | DMuxSlaveData3: 89 | DMuxReadData: 0 | InBlockUse: 0 | time=2000
Switch 1 : 0 | Switch 2: 0 | Switch Master : 813 | ClockCount = 0 | Output Value: 0 | Output Value (SVA): 0 | WriteEnable: 0 |  OpCode=JR |  InDest: 0 | InSrc: 0 | OutDest: 0 | PortData1: 813 | PmuxReadData: 813 | DMuxSlaveData3: 813 | DMuxReadData: 0 | InBlockUse: 0 | time=3000
Switch 1 : 0 | Switch 2: 0 | Switch Master : 776 | ClockCount = 0 | Output Value: 0 | Output Value (SVA): 0 | WriteEnable: 0 |  OpCode=JR |  InDest: 0 | InSrc: 0 | OutDest: 0 | PortData1: 776 | PmuxReadData: 776 | DMuxSlaveData3: 776 | DMuxReadData: 0 | InBlockUse: 0 | time=4000
Switch 1 : 0 | Switch 2: 0 | Switch Master : 928 | ClockCount = 0 | Output Value: 0 | Output Value (SVA): 0 | WriteEnable: 0 |  OpCode=JR |  InDest: 0 | InSrc: 0 | OutDest: 0 | PortData1: 928 | PmuxReadData: 928 | DMuxSlaveData3: 928 | DMuxReadData: 0 | InBlockUse: 0 | time=5000
Switch 1 : 0 | Switch 2: 0 | Switch Master : 343 | ClockCount = 0 | Output Value: 0 | Output Value (SVA): 0 | WriteEnable: 0 |  OpCode=LIL |  InDest: 0 | InSrc: 0 | OutDest: 0 | PortData1: 343 | PmuxReadData: 343 | DMuxSlaveData3: 343 | DMuxReadData: 0 | InBlockUse: 0 | time=6000
Switch 1 : 0 | Switch 2: 0 | Switch Master : 829 | ClockCount = 0 | Output Value: 0 | Output Value (SVA): 0 | WriteEnable: 0 |  OpCode=LIL |  InDest: 0 | InSrc: 0 | OutDest: 0 | PortData1: 829 | PmuxReadData: 829 | DMuxSlaveData3: 829 | DMuxReadData: 0 | InBlockUse: 0 | time=7000
Switch 1 : 0 | Switch 2: 0 | Switch Master : 192 | ClockCount = 1 | Output Value: 0 | Output Value (SVA): 0 | WriteEnable: 0 |  OpCode=LIL |  InDest: 0 | InSrc: 0 | OutDest: 0 | PortData1: 192 | PmuxReadData: 192 | DMuxSlaveData3: 192 | DMuxReadData: 0 | InBlockUse: 0 | time=10000
Switch 1 : 0 | Switch 2: 0 | Switch Master : 218 | ClockCount = 1 | Output Value: 0 | Output Value (SVA): 0 | WriteEnable: 0 |  OpCode=LIL |  InDest: 0 | InSrc: 0 | OutDest: 0 | PortData1: 218 | PmuxReadData: 218 | DMuxSlaveData3: 218 | DMuxReadData: 0 | InBlockUse: 0 | time=12000
Switch 1 : 0 | Switch 2: 0 | Switch Master : 209 | ClockCount = 1 | Output Value: 0 | Output Value (SVA): 0 | WriteEnable: 0 |  OpCode=LIL |  InDest: 0 | InSrc: 0 | OutDest: 0 | PortData1: 209 | PmuxReadData: 209 | DMuxSlaveData3: 209 | DMuxReadData: 0 | InBlockUse: 0 | time=14000
Switch 1 : 0 | Switch 2: 0 | Switch Master : 458 | ClockCount = 1 | Output Value: 0 | Output Value (SVA): 0 | WriteEnable: 0 |  OpCode=LIL |  InDest: 0 | InSrc: 0 | OutDest: 0 | PortData1: 458 | PmuxReadData: 458 | DMuxSlaveData3: 458 | DMuxReadData: 0 | InBlockUse: 0 | time=15000
Switch 1 : 0 | Switch 2: 0 | Switch Master : 648 | ClockCount = 1 | Output Value: 0 | Output Value (SVA): 0 | WriteEnable: 0 |  OpCode=LIU |  InDest: 0 | InSrc: 0 | OutDest: 49152 | PortData1: 648 | PmuxReadData: 648 | DMuxSlaveData3: 648 | DMuxReadData: 0 | InBlockUse: 0 | time=18000
Switch 1 : 0 | Switch 2: 0 | Switch Master : 266 | ClockCount = 2 | Output Value: 0 | Output Value (SVA): 0 | WriteEnable: 0 |  OpCode=LIU |  InDest: 0 | InSrc: 0 | OutDest: 49152 | PortData1: 266 | PmuxReadData: 266 | DMuxSlaveData3: 266 | DMuxReadData: 0 | InBlockUse: 0 | time=20000
